Country,Life expectancy ,Alcohol,percentage expenditure, BMI ,Total expenditure,GDP,Income composition of resources,Schooling
Iraq,67.9,0.01,43.5240801,58.5,5.54,673.74737,0.658,10.1
Sao Tome and Principe,67.3,0.01,225.7307751,3.1,8.35,1821.878734,0.562,11.1
Myanmar,66.4,0.01,45.33788677,22.9,2.28,1262.893782,0.547,9.1
Senegal,66.4,0.26,12.80528533,23.8,4.66,152.443873,0.483,9.1
Pakistan,66.2,0.01,62.29361092,24.7,2.61,1316.98966,0.542,7.8
Kiribati,66.1,0.01,97.87193319,77.1,1.21,1684.54274,0.597,11.9
Guyana,66,7.64,4.141293345,45.9,5.25,43.82321,0.636,10.3
Turkmenistan,66,2.9,691.1333535,47.7,2.7,7962.365824,0.683,10.8
Namibia,65.9,0.01,751.3982719,34.9,8.93,5421.343953,0.632,11.7
Rwanda,65.7,0.01,7.549797238,2.8,7.53,76.5699517,0.488,10.8
Gabon,65.5,0.01,715.2816939,35.8,3.44,9692.163874,0.687,12.6
Botswana,65.1,0.01,662.802194,37.3,5.41,7497.762376,0.697,12.6
Madagascar,65.1,0.01,5.339065673,2,3.4,452.4631926,0.509,10.3
Ethiopia,64.2,0.01,89.95805845,17.2,4.88,571.1622759,0.435,8.4
Comoros,63.2,0.01,73.86584922,23.7,6.75,852.954379,0.497,11.1
Haiti,63.1,0.01,5.103249438,48.8,7.56,83.1148117,0.487,9.1
Djibouti,63,0.38,24.73299655,34.4,1.57,174.91511,0.467,6.3
Mauritania,63,0.01,80.92679802,3.1,3.77,1326.66882,0.509,8.5
Kenya,62.9,0.01,170.9626624,21.3,5.72,1335.6458,0.546,11.1
Papua New Guinea,62.7,0.01,208.2311603,47.9,4.26,2182.716565,0.511,10
Ghana,62.1,0.01,97.67794571,28,3.56,1432.227943,0.576,11.7
South Africa,62,7.38,922.0507313,5.3,8.8,6479.625659,0.66,13
Uganda,61.5,0.01,14.16770158,18.1,7.22,719.172669,0.483,10
Niger,61.4,0.01,3.304039899,18.9,5.82,43.646498,0.345,5.3
Zambia,61.1,0.01,196.6675768,22.8,4.99,1738.8822,0.57,12.5
Afghanistan,59.9,0.01,73.52358168,18.6,8.18,612.696514,0.476,10
Benin,59.7,0.01,90.12206791,25.2,4.59,943.686575,0.475,10.7
Togo,59.7,0.01,4.877350139,23.7,5.25,62.1318489,0.475,12
Burkina Faso,59.3,0.01,8.386339501,18.8,4.96,75.1464113,0.398,7.7
Zimbabwe,59.2,6.5,10.82259524,31.3,6.44,127.47462,0.498,10.3
Burundi,59.1,0.01,41.25159038,18.2,7.54,312.7489794,0.404,10.6
Guinea-Bissau,58.4,0.01,50.06053544,25.6,5.59,642.6256154,0.419,9.2
Swaziland,58.4,0.01,574.3895102,31.8,9.25,3464.35169,0.541,11.4
Guinea,58.1,0.01,50.57976483,22.7,5.64,561.997387,0.412,8.6
Liberia,58.1,0.01,54.37396957,26.7,1.4,458.4651734,0.426,9.9
Central African Republic,58,0.01,53.43964323,22.1,4.2,377.132274,0.345,7.1
Equatorial Guinea,57.9,0.01,13.40477417,24,3.8,192.59733,0.582,9.2
Mali,57.8,0.01,46.56231672,23.2,6.86,825.5729915,0.43,8.2
Malawi,57.6,0.01,59.48744893,19.2,11.38,354.7253961,0.466,10.7
Cameroon,56.7,0.01,61.39263642,28.4,4.1,1441.1417,0.507,10.4
Mozambique,56.7,0.01,54.91159475,22.2,6.98,623.2871141,0.409,9.1
Nigeria,53.6,0.01,263.2111031,24.7,3.67,3221.678128,0.521,10
Chad,52.6,0.01,11.3020668,18.7,3.62,125.998515,0.39,7.3
Lesotho,52.1,0.01,162.1278115,32,1.62,1174.839214,0.491,10.8
Angola,51.7,8.33,23.965612,22.7,3.31,479.31224,0.527,11.4
Sierra Leone,48.1,0.01,1.443286353,23.8,11.9,78.4394757,0.426,9.5
